,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
2632,1962-08-18,University of Kansas,185th overall,9th round,Indiana Pacers,1984,Brian Martin
2633,1984-11-20,Kansas State University,,,,,Cartier Martin
2634,1971-09-23,Purdue University,57th overall,2nd round,Atlanta Hawks,1995,Cuonzo Martin
2635,1971-03-06,"University of California, Los Angeles",,,,,Darrick Martin
2636,1920-05-25,Georgetown University,,,,,Dino Martin
2637,1920-02-07,Central Missouri State University,,,,,Don Martin
2638,1962-03-25,,38th overall,2nd round,New Jersey Nets,1985,Fernando Martin
2639,1994-05-24,Louisiana State University,25th overall,1st round,Memphis Grizzlies,2015,Jarell Martin
2640,1967-01-14,Murray State University,31st overall,2nd round,Los Angeles Clippers,1989,Jeff Martin
2641,1977-12-30,University of Cincinnati,1st overall,1st round,New Jersey Nets,2000,Kenyon Martin
2642,1983-02-01,Western Carolina University,26th overall,1st round,Sacramento Kings,2004,Kevin Martin
2643,1950-03-30,Loyola University of Chicago,1st overall,1st round,Portland Trail Blazers,1972,LaRue Martin
2644,1964-07-02,Saint Joseph's University,16th overall,1st round,Denver Nuggets,1986,Maurice Martin
2645,1928-04-02,University of Toledo,29th overall,4th round,Milwaukee Hawks,1954,Phil Martin
2646,1925-10-22,University of Texas at Austin,,,,,Slater Martin
2647,1939-04-11,St. Bonaventure University,10th overall,2nd round,New York Knicks,1961,Whitey Martin
2648,1972-11-29,University of Kentucky,4th overall,1st round,Dallas Mavericks,1993,Jamal Mashburn
2649,1928-02-05,Canisius College,,,,,Al Masino
2650,1966-12-14,Tennessee State University,53rd overall,3rd round,Portland Trail Blazers,1988,Anthony Mason
2651,1977-10-11,Oklahoma State University,17th overall,1st round,Seattle SuperSonics,2000,Desmond Mason
2652,1994-04-03,University of Kansas,34th overall,2nd round,Sacramento Kings,2017,Frank Mason III
2653,1980-09-10,University of Virginia,31st overall,2nd round,Chicago Bulls,2002,Roger Mason
2654,1967-07-31,University of Maryland,43rd overall,2nd round,San Antonio Spurs,1990,Tony Massenburg
2655,1948-10-03,Temple University,40th overall,3rd round,New York Knicks,1969,Eddie Mast
2656,1996-08-14,University of Georgia,,,,,Yante Maten
2657,1992-10-08,University of Louisville,,,,,Mangok Mathiang
2658,1943-07-14,Savannah State University,,,,,Johnny Mathis
2659,1959-08-24,University of Wisconsin,14th overall,1st round,Washington Bullets,1980,Wes Matthews
2660,1986-10-14,Marquette University,,,,,Wesley Matthews
2661,1923-02-23,Utah State University,,,,,Ariel Maughan
2662,1969-02-19,"University of Minnesota, University of Texas at El Paso",28th overall,2nd round,Minnesota Timberwolves,1992,Marlon Maxey
2663,1983-02-18,University of Cincinnati,26th overall,1st round,Detroit Pistons,2005,Jason Maxiell
2664,1955-11-21,University of North Carolina at Charlotte,12th overall,1st round,Boston Celtics,1977,Cedric Maxwell
2665,1965-09-12,University of Florida,47th overall,2nd round,Denver Nuggets,1988,Vernon Maxwell
2666,1946-01-03,University of Dayton,30th overall,3rd round,New York Knicks,1968,Don May
2667,1954-03-19,Indiana University,2nd overall,1st round,Chicago Bulls,1976,Scott May
2668,1984-04-04,University of North Carolina,13th overall,1st round,Charlotte Bobcats,2005,Sean May
2669,1970-06-12,University of Arkansas,23rd overall,1st round,Milwaukee Bucks,1992,Lee Mayberry
2670,1953-03-17,Furman University,22nd overall,2nd round,Milwaukee Bucks,1975,Clyde Mayes
2671,1968-09-09,Florida State University,,,,,Tharon Mayes
2672,1957-10-17,University of Iowa,,,,,Bill Mayfield
2673,1948-05-11,Tuskegee University,50th overall,3rd round,New York Knicks,1971,Ken Mayfield
2674,1987-06-11,Virginia Commonwealth University,20th overall,1st round,Utah Jazz,2009,Eric Maynor
2675,1987-11-05,University of Southern California,3rd overall,1st round,Minnesota Timberwolves,2008,OJ Mayo
2676,1968-06-19,University of Texas at Austin,14th overall,1st round,Sacramento Kings,1990,Travis Mays
2677,1923-09-23,Michigan State University,,,,,Matt Mazza
2678,1986-09-09,"University of California, Los Angeles",37th overall,2nd round,Milwaukee Bucks,2008,Luc Mbah a Moute
2679,1951-09-25,University of North Carolina,2nd overall,1st round,Buffalo Braves,1972,Bob McAdoo
2680,1993-01-04,University of North Carolina,,,,,James Michael McAdoo
2681,,University of Maryland Eastern Shore,,1952 NBA Draf,Syracuse Nationals,,Ken McBride
2682,1994-08-17,Tennessee State University,,,,,Tahjere McCall
2683,1991-06-12,University of Detroit Mercy,36th overall,2nd round,Sacramento Kings,2013,Ray McCallum
2684,1964-04-22,"Upsala College, Morehead State University",32nd overall,2nd round,Milwaukee Bucks,1987,Bob McCann
2685,1935-07-05,St. Bonaventure University,5th overall,1st round,New York Knicks,1957,Brendan McCann
2686,1967-08-19,Purdue University,,,,,Mel McCants
2687,1984-09-25,University of North Carolina,14th overall,1st round,Minnesota Timberwolves,2005,Rashad McCants
2688,1922-03-02,Seton Hall University,,,,,Mike McCarron
2689,1953-08-25,"University of California, Los Angeles",136th overall,8th round,Cleveland Cavaliers,1975,Andre McCarter
2690,1946-07-26,Drake University,12th overall,1st round,Los Angeles Lakers,1969,Willie McCarter
2691,1934-04-25,Canisius College,,1956 NBA Draf,Rochester Royals,,Johnny McCarthy
2692,,Wayne State University,,,,,Howie McCarty
2693,1975-08-24,University of Southern Mississippi,,,,,Kelly McCarty
2694,1974-02-01,University of Kentucky,19th overall,1st round,New York Knicks,1996,Walter McCarty
2695,1973-10-28,Marquette University,49th overall,2nd round,Orlando Magic,1996,Amal McCaskill
2696,1995-10-25,"University of Nevada, Las Vegas",38th overall,2nd round,Milwaukee Bucks,2016,Patrick McCaw
2697,1963-02-07,Villanova University,27th overall,2nd round,Indiana Pacers,1985,Dwayne McClain
2698,1946-08-30,Tennessee State University,22nd overall,2nd round,Atlanta Hawks,1971,Ted McClain
2699,1977-04-19,Northern Arizona University,53rd overall,2nd round,Denver Nuggets,2000,Dan McClintock
2700,1925-09-19,University of Pennsylvania,,,,,Jack McCloskey
2701,1967-05-27,Florida State University,7th overall,1st round,Indiana Pacers,1989,George McCloud
2702,1991-09-19,Lehigh University,10th overall,1st round,Portland Trail Blazers,2013,CJ McCollum
2703,1930-04-09,Northwestern State University,5th overall,1st round,Syracuse Nationals,1951,John McConathy
2704,1928-07-01,Marshall University,,,,,Bucky McConnell
2705,1992-03-25,"Duquesne University, University of Arizona",,,,,TJ McConnell
2706,1957-06-22,"University of Alabama, University of Alabama at Birmingham",198th overall,10th round,Philadelphia 76ers,1979,Keith McCord
2707,1962-03-10,University of Michigan,12th overall,1st round,Cleveland Cavaliers,1984,Tim McCormick
2708,1977-12-06,"University of California, Los Angeles",33rd overall,2nd round,Seattle SuperSonics,1998,Jelani McCoy
2709,1950-09-11,"California State University, Northridge",,,,,Paul McCracken
2710,1984-05-27,University of Maryland,,,,,Chris McCray
2711,1961-08-29,University of Louisville,3rd overall,1st round,Houston Rockets,1983,Rodney McCray
2712,1960-02-08,University of Louisville,36th overall,2nd round,Seattle SuperSonics,1983,Scooter McCray
2713,1993-12-20,Louisiana Tech University,,,,,Erik McCree
2714,1995-02-05,Syracuse University,29th overall,1st round,Brooklyn Nets,2015,Chris McCullough
2715,1956-10-05,University of Oklahoma,85th overall,4th round,Kansas City Kings,1979,John McCullough
2716,1972-02-26,University of Arkansas,,,,,Clint McDaniel
2717,1963-06-04,Wichita State University,4th overall,1st round,Seattle SuperSonics,1985,Xavier McDaniel
2718,1948-04-02,Western Kentucky University,23rd overall,2nd round,Seattle SuperSonics,1971,Jim McDaniels
2719,1993-02-09,Clemson University,32nd overall,2nd round,Philadelphia 76ers,2014,KJ McDaniels
2720,1992-01-03,Creighton University,11th overall,1st round,Denver Nuggets,2014,Doug McDermott
2721,1962-07-20,"University of California, Irvine",50th overall,3rd round,Cleveland Cavaliers,1984,Ben McDonald
2722,1952-03-18,"California State University, Long Beach",17th overall,1st round,Boston Celtics,1974,Glenn McDonald
2723,1969-02-13,"Utah Valley State College, University of New Orleans",55th overall,2nd round,Golden State Warriors,1995,Michael McDonald
2724,1945-04-09,Whitworth,101st overall,9th round,Seattle SuperSonics,1967,Roderick McDonald
2725,1959-11-13,University of Memphis,102nd overall,5th round,Golden State Warriors,1981,Hank McDowell
2726,1974-09-07,University of Alabama,2nd overall,1st round,Los Angeles Clippers,1995,Antonio McDyess
2727,1953-10-04,Central Michigan University,38th overall,3rd round,New Orleans Jazz,1975,Jim McElroy
2728,1951-12-07,Saint Joseph's University,28th overall,2nd round,New York Knicks,1973,Patrick McFarland
2729,1982-04-26,Oklahoma State University,,,,,Ivan McFarlin
2730,1926-09-26,University of Arkansas,,1948 BAA Draf,New York Knicks,,Mel McGaha
2731,1992-06-06,University of Michigan,21st overall,1st round,Oklahoma City Thunder,2014,Mitch McGary
2732,1988-01-19,"University of Nevada, Reno",18th overall,1st round,Washington Wizards,2008,JaVale McGee
2733,1959-07-29,University of Michigan,19th overall,1st round,Los Angeles Lakers,1981,Mike McGee
2734,1939-09-16,University of Utah,1st overall,1st round,Chicago Zephyrs,1962,Bill McGill
2735,1950-08-12,Indiana University,22nd overall,2nd round,Philadelphia 76ers,1973,George McGinnis
2736,1943-06-10,Indiana University,24th overall,3rd round,Cincinnati Royals,1965,Jon McGlocklin
2737,1979-05-24,,9th overall,1st round,Toronto Raptors,1997,Tracy McGrady
2738,1949-06-14,Wake Forest University,89th overall,6th round,Cincinnati Royals,1971,Gil McGregor
2739,1942-08-21,Creighton University,90th overall,12th round,St. Louis Hawks,1965,Elton McGriff
2740,1991-07-29,Kansas State University,,,,,Rodney McGruder
2741,1928-09-07,St. John's University,55th overall,6th round,New York Knicks,1951,Alfred McGuire
2742,1951-07-10,Marquette University,49th overall,3rd round,New York Knicks,1973,Allie McGuire
2743,1926-01-25,St. John's University,7th overall,1st round,New York Knicks,1949,Dick McGuire
2744,1985-10-20,"University of California, California State University, Fresno",47th overall,2nd round,Washington Wizards,2007,Dominic McGuire
2745,1957-12-19,University of Minnesota,3rd overall,1st round,Boston Celtics,1980,Kevin McHale
2746,1942-08-01,North Carolina Agricultural and Technical State University,58th overall,7th round,St. Louis Hawks,1964,Maurice McHartley
2747,1972-07-30,Marquette University,32nd overall,2nd round,Washington Bullets,1994,Jim McIlvaine
2748,1974-10-22,University of North Carolina,37th overall,2nd round,Denver Nuggets,1996,Jeff McInnis
2749,1949-01-21,Eastern Michigan University,15th overall,1st round,Chicago Bulls,1971,Kenny McIntosh
2750,1944-01-23,St. John's University,34th overall,4th round,St. Louis Hawks,1966,Bob McIntyre
2751,1946-08-04,Ohio University,,,,,Jerry McKee
2752,1959-01-08,Creighton University,88th overall,4th round,Los Angeles Lakers,1981,Kevin McKenna
2753,1963-02-16,Loyola Marymount University,48th overall,3rd round,San Antonio Spurs,1986,Forrest McKenzie
2754,1944-10-06,New York University,94th overall,11th round,Baltimore Bullets,1966,Stan McKenzie
2755,1966-10-10,University of Alabama,9th overall,1st round,Seattle SuperSonics,1987,Derrick McKey
2756,1972-10-02,Temple University,17th overall,1st round,Portland Trail Blazers,1994,Aaron McKie
2757,1955-06-05,Northwestern University,115th overall,6th round,Phoenix Suns,1977,Billy McKinney
2758,1919-01-01,University of North Carolina,,,,,Bones McKinney
2759,1964-10-21,"University of Tulsa, Southern Methodist University",,,,,Carlton McKinney
2760,1990-08-27,University of Miami,,,,,Trey McKinney-Jones
2761,1992-09-17,University of Wisconsin-Green Bay,,,,,Alfonzo McKinnie
2762,1993-02-11,University of Kansas,7th overall,1st round,Sacramento Kings,2013,Ben McLemore
2763,1942-04-03,Drake University,23rd overall,3rd round,San Francisco Warriors,1964,McCoy McLemore
2764,1931-01-03,Texas Christian University,,1952 NBA Draf,Milwaukee Hawks,,George McLeod
2765,1979-11-05,Bowling Green State University,,,,,Keith McLeod
2766,1975-11-17,"St. John's University, Duke University",20th overall,1st round,Atlanta Hawks,1998,Roshown McLeod
2767,1928-12-03,St. John's University,,1952 NBA Draf,Rochester Royals,,Jack McMahon
2768,1964-08-03,North Carolina State University,30th overall,2nd round,Seattle SuperSonics,1986,Nate McMillan
2769,1952-05-26,University of Maryland,9th overall,1st round,Buffalo Braves,1974,Tom McMillen
2770,1948-03-11,Columbia University,13th overall,1st round,Los Angeles Lakers,1970,Jim McMillian
2771,1936-03-11,Bradley University,42nd overall,6th round,Detroit Pistons,1958,Shellie McMillon
2772,1927-08-23,Xavier University,,,,,Mal McMullen
2773,1920-09-19,Arizona State University,,,,,Chet McNabb
2774,1959-06-08,"Santa Clara University, University of California",22nd overall,1st round,Philadelphia 76ers,1982,Mark McNamara
2775,1926-09-24,University of San Francisco,9th overall,1st round,Rochester Royals,1950,Joe McNamee
2776,1987-06-01,Marquette University,,,,,Jerel McNeal
2777,1961-07-15,San Jose State University,38th overall,2nd round,Kansas City Kings,1983,Chris McNealy
2778,1938-10-22,Saint Joseph's University,19th overall,3rd round,New York Knicks,1960,Bob McNeill
2779,1951-01-31,Marquette University,25th overall,2nd round,Kansas City-Omaha Kings,1973,Larry McNeill
2780,1930-02-14,Purdue University,,1952 NBA Draf,Minneapolis Lakers,,Carl McNulty
2781,1978-07-03,DePaul University,,,,,Paul McPherson
2782,1950-05-05,"Montana State University, Billings",136th overall,8th round,Los Angeles Lakers,1973,Roy McPipe
2783,1962-01-18,North Carolina State University,91st overall,4th round,Milwaukee Bucks,1985,Cozell McQueen
2784,1991-03-28,University of Tennessee,58th overall,2nd round,San Antonio Spurs,2014,Jordan McRae
2785,1943-06-08,Miles College,82nd overall,11th round,Baltimore Bullets,1965,Thales McReynolds
2786,1987-02-28,Duke University,37th overall,2nd round,Portland Trail Blazers,2007,Josh McRoberts
2787,1950-04-18,"California State University, Long Beach",37th overall,3rd round,Houston Rockets,1972,Eric McWilliams
2788,1922-04-18,University of Rhode Island,,,,,George Mearns
2789,1979-04-04,,,,,,Stanislav Medvedenko
2790,1971-02-11,Western Kentucky University,34th overall,2nd round,Golden State Warriors,1993,Darnell Mee
2791,1987-08-21,University of Kentucky,41st overall,2nd round,Milwaukee Bucks,2009,Jodie Meeks
2792,1947-07-10,University of Colorado,7th overall,1st round,Houston Rockets,1971,Cliff Meely
2793,1964-01-04,University of Illinois at Urbana-Champaign,74th overall,4th round,Chicago Bulls,1986,Scott Meents
2794,1922-05-20,University of Tennessee,,,,,Dick Mehen
2795,1930-10-30,University of Dayton,,1952 NBA Draf,Fort Wayne Pistons,,Monk Meineke
2796,1926-03-29,Long Island University,,,,,Carl Meinhold
2797,1986-06-15,,,,,,Salah Mejri
2798,1988-03-04,Wichita State University,,,,,Gal Mekel
2799,1944-10-19,Villanova University,19th overall,2nd round,Philadelphia 76ers,1966,Bill Melchionni
2800,1951-01-19,Duke University,33rd overall,2nd round,Phoenix Suns,1973,Gary Melchionni
2801,1990-06-20,Syracuse University,22nd overall,1st round,Boston Celtics,2012,Fab Melo
2802,1998-05-28,University of Southern California,46th overall,2nd round,Houston Rockets,2018,De'Anthony Melton
2803,1916-02-13,Duquesne University,,,,,Ed Melvin
2804,1948-05-13,Marquette University,16th overall,1st round,New York Knicks,1971,Dean Meminger
2805,1933-04-21,University of Minnesota,12th overall,2nd round,Minneapolis Lakers,1955,Chuck Mencel
2806,1949-10-16,Auburn University,21st overall,2nd round,Cincinnati Royals,1971,John Mengelt
2807,1922-10-02,University of Illinois at Urbana-Champaign,,,,,Ken Menke
2808,1983-09-07,George Washington University,,,,,Pops Mensah-Bonsu
2809,1944-05-24,University of Utah,,,,,Dewitt Menyard
2810,1976-05-18,University of Kentucky,6th overall,1st round,Boston Celtics,1997,Ron Mercer
2811,1953-10-26,Southern Illinois University,11th overall,1st round,Houston Rockets,1975,Joe Meriweather
2812,1940-03-16,Tennessee State University,21st overall,3rd round,Syracuse Nationals,1962,Porter Meriwether
2813,1938-10-26,Saint Mary's College of California,7th overall,1st round,Philadelphia Warriors,1961,Tom Meschery
2814,1997-03-22,University of Southern California,49th overall,2nd round,San Antonio Spurs,2018,Chimezie Metu
2815,1943-08-30,Hiram College,81st overall,11th round,New York Knicks,1965,Bill Meyer
2816,1972-12-30,Iowa State University,24th overall,1st round,Dallas Mavericks,1995,Loren Meyer
2817,1953-04-21,"University of California, Los Angeles",2nd overall,1st round,Los Angeles Lakers,1975,Dave Meyers
2818,1923-09-19,,,,,,Stan Miasek
2819,1960-03-24,University of Houston,29th overall,2nd round,Chicago Bulls,1983,Larry Micheaux
2820,1994-07-09,Louisiana State University,33rd overall,2nd round,Boston Celtics,2015,Jordan Mickey
2821,1991-08-12,Texas A&M University,39th overall,2nd round,Detroit Pistons,2012,Khris Middleton
2822,1916-09-22,,,,,,Red Mihalik
2823,1979-07-16,University of Texas at Austin,7th overall,1st round,Chicago Bulls,2000,Chris Mihm
2824,1925-10-20,DePaul University,5th overall,1st round,Chicago Stags,1948,Ed Mikan
2825,1924-06-18,DePaul University,,,,,George Mikan
2826,1948-04-08,University of Minnesota,64th overall,4th round,Los Angeles Lakers,1970,Larry Mikan
2827,1928-10-21,Hamline University,,1949 BAA Draft,Minneapolis Lakers,,Vern Mikkelsen
2828,1928-02-02,Western Illinois University,,,,,Al Miksis
2829,1983-04-13,University of Kansas,,,,,Aaron Miles
2830,1987-03-18,,34th overall,2nd round,Utah Jazz,2005,CJ Miles
2831,1981-10-09,,3rd overall,1st round,Los Angeles Clippers,2000,Darius Miles
2832,1940-07-05,Seattle University,4th overall,1st round,Detroit Pistons,1963,Eddie Miles
2833,1977-05-07,,33rd overall,2nd round,Philadelphia 76ers,1997,Marko Milic
2834,1985-06-20,,2nd overall,1st round,Detroit Pistons,2003,Darko Milicic
2835,1923-05-03,Cornell University,,,,,Nat Militzok
2836,1976-03-19,University of Utah,8th overall,1st round,Cleveland Cavaliers,1999,Andre Miller
2837,1971-10-22,Michigan State University,39th overall,2nd round,Golden State Warriors,1994,Anthony Miller
2838,1924-11-24,University of North Carolina,,,,,Bill Miller
2839,1956-07-09,University of Cincinnati,85th overall,4th round,Phoenix Suns,1978,Bob Miller
2840,1976-04-12,Purdue University,,,,,Brad Miller
2841,1990-03-21,University of Kentucky,46th overall,2nd round,New Orleans Hornets,2012,Darius Miller
2842,1958-04-26,University of Toledo,40th overall,2nd round,Indiana Pacers,1980,Dick Miller
2843,1931-06-18,Syracuse University,,1952 NBA Draf,Milwaukee Hawks,,Eddie Miller
2844,1923-07-28,University of North Carolina,,,,,Harry Miller
2845,1943-07-19,University of Notre Dame,,,,,Jay Miller
2846,1946-04-04,University of North Carolina,62nd overall,5th round,Philadelphia 76ers,1968,Larry Miller
2847,1993-03-06,College of the Holy Cross,,,,,Malcolm Miller
2848,1980-02-19,University of Florida,5th overall,1st round,Orlando Magic,2000,Mike Miller
2849,1970-04-06,University of Arkansas,22nd overall,1st round,Phoenix Suns,1992,Oliver Miller
2850,1992-11-18,Baylor University,38th overall,2nd round,Denver Nuggets,2012,Quincy Miller
2851,1965-08-24,"University of California, Los Angeles",11th overall,1st round,Indiana Pacers,1987,Reggie Miller
2852,1915-07-30,Duquesne University,,,,,Walt Miller
2853,1970-01-25,"University of Kentucky, University of Arizona",22nd overall,1st round,Cleveland Cavaliers,1993,Chris Mills
2854,1919-09-07,Western Kentucky University,,,,,John Mills
2855,1988-08-11,Saint Mary's College of California,55th overall,2nd round,Portland Trail Blazers,2009,Patty Mills
2856,1967-12-21,University of Michigan,16th overall,1st round,Milwaukee Bucks,1990,Terry Mills
2857,1987-08-12,"University of Louisiana at Lafayette, University of Alabama at Birmingham",,,,,Elijah Millsap
2858,1985-02-10,Louisiana Tech University,47th overall,2nd round,Utah Jazz,2006,Paul Millsap
2859,1996-09-26,Southern Methodist University,54th overall,2nd round,Dallas Mavericks,2018,Shake Milton
2860,1971-05-05,University of Southern California,12th overall,1st round,Miami Heat,1992,Harold Miner
2861,1980-09-12,,1st overall,1st round,Houston Rockets,2002,Yao Ming
2862,1961-01-17,University of Kentucky,33rd overall,2nd round,Dallas Mavericks,1983,Dirk Minniefield
2863,1922-02-23,"University of California, Los Angeles",,,,,Dave Minor
2864,1971-09-18,University of Louisville,25th overall,1st round,Los Angeles Clippers,1994,Greg Minor
2865,1950-05-14,Ohio State University,165th overall,11th round,Boston Celtics,1972,Mark Minor
2866,1991-02-11,,23rd overall,1st round,Houston Rockets,2011,Nikola Mirotic
2867,1923-12-21,University of Utah,,1947 BAA Draf,New York Knicks,,Wat Misaka
2868,1975-08-19,George Mason University,,,,,Jason Miskiri
2869,1996-09-07,University of Louisville,13th overall,1st round,Denver Nuggets,2017,Donovan Mitchell
2870,1941-02-22,Mississippi State University,14th overall,2nd round,St. Louis Hawks,1963,Leland Mitchell
2871,1956-01-01,Auburn University,15th overall,1st round,Cleveland Cavaliers,1978,Mike Mitchell
2872,1923-03-19,Sam Houston State University,,1948 BAA Draf,Boston Celtics,,Murray Mitchell
2873,1963-09-02,Mercer University,54th overall,3rd round,Houston Rockets,1985,Sam Mitchell
2874,1966-07-26,Purdue University,43rd overall,2nd round,Denver Nuggets,1988,Todd Mitchell
2875,1989-08-07,University of Alabama,,,,,Tony Mitchell
2876,1992-04-07,University of North Texas,37th overall,2nd round,Detroit Pistons,2013,Tony Mitchell
2877,1993-08-03,Iowa State University,,,,,Naz Mitrou-Long
2878,1947-12-30,University of Toledo,61st overall,5th round,Detroit Pistons,1969,Steve Mix
2879,1931-01-19,Temple University,,1952 NBA Draft,Philadelphia Warriors,,Bill Mlkvy
2880,1975-09-01,University of Rhode Island,41st overall,2nd round,Houston Rockets,1998,Cuttino Mobley
2881,1970-02-01,University of Pittsburgh,18th overall,1st round,Milwaukee Bucks,1994,Eric Mobley
2882,1938-09-21,University of North Carolina,52nd overall,7th round,Detroit Pistons,1960,Doug Moe
2883,1954-11-05,"University of Nevada, Las Vegas",34th overall,2nd round,Houston Rockets,1977,Larry Moffett
2884,1921-04-13,Youngstown State University,,,,,Leo Mogus
2885,1977-09-05,University of Kentucky,29th overall,1st round,Utah Jazz,1998,Nazr Mohammed
2886,1978-06-15,"University of California, Los Angeles",11th overall,1st round,Boston Celtics,2000,Jerome Moiso
2887,1957-01-03,University of Kansas,42nd overall,2nd round,Houston Rockets,1979,Paul Mokeski
2888,1931-10-31,Columbia University,3rd overall,1st round,Fort Wayne Pistons,1953,Jack Molinas
2889,1943-04-17,Lewis University,75th overall,10th round,New York Knicks,1965,Wayne Molis
2890,1957-09-21,University of Arkansas,5th overall,1st round,Milwaukee Bucks,1979,Sidney Moncrief
2891,1955-02-06,University of Arizona,33rd overall,2nd round,Detroit Pistons,1974,Eric Money
2892,1983-04-15,,23rd overall,1st round,Portland Trail Blazers,2004,Sergei Monia
2893,1998-02-04,University of Kentucky,11th overall,1st round,Charlotte Hornets,2017,Malik Monk
2894,1944-11-21,Winston-Salem State University,2nd overall,1st round,Baltimore Bullets,1967,Earl Monroe
2895,1990-06-04,Georgetown University,7th overall,1st round,Detroit Pistons,2010,Greg Monroe
2896,1968-04-16,North Carolina State University,30th overall,2nd round,Atlanta Hawks,1991,Rodney Monroe
2897,1993-04-06,Westchester CC,,,,,Luis Montero
2898,1940-08-22,University of Texas-Pan American,59th overall,7th round,San Francisco Warriors,1962,Howie Montgomery
2899,1971-09-23,University of North Carolina,9th overall,1st round,Boston Celtics,1994,Eric Montross
2900,1980-06-13,Meridian Community College,,,,,Jamario Moon
2901,1930-07-08,Villanova University,,,,,Jim Mooney
2902,1964-07-02,Loyola University of Chicago,31st overall,2nd round,Denver Nuggets,1987,Andre Moore
2903,1995-05-13,Southern Methodist University,,,,,Ben Moore
2904,1989-02-25,Purdue University,55th overall,2nd round,Boston Celtics,2011,E'Twaun Moore
2905,1945-07-29,Saint Louis University,22nd overall,2nd round,Milwaukee Bucks,1968,Gene Moore
2906,1932-09-24,La Salle University,,,,,Jackie Moore
2907,1958-03-03,University of Texas at Austin,43rd overall,2nd round,Seattle SuperSonics,1979,Johnny Moore
2908,,,,,,,Larry Moore
2909,1957-05-05,West Virginia University,52nd overall,3rd round,New Jersey Nets,1980,Lowes Moore
2910,1975-11-04,University of Nebraska,,,,,Mikki Moore
2911,1946-08-27,University of Texas-Pan American,6th overall,1st round,Detroit Pistons,1968,Otto Moore
2912,,Hiram Scott College,85th overall,10th round,New York Knicks,1966,Richard Moore
2913,1962-01-16,"Salem International University, West Virginia State University",25th overall,2nd round,New York Knicks,1987,Ron Moore
2914,1965-12-28,University of Tulsa,,,,,Tracy Moore
2915,1991-12-24,Oregon State University,,,,,Eric Moreland
2916,1938-03-11,Louisiana Tech University,4th overall,1st round,Detroit Pistons,1960,Jackie Moreland
2917,1960-08-23,Wake Forest University,40th overall,2nd round,Indiana Pacers,1982,Guy Morgan
2918,1948-10-27,Jacksonville University,21st overall,2nd round,Boston Celtics,1970,Rex Morgan
2919,1922-08-03,New Mexico Institute of Mining and Technology,,,,,Elmore Morgenthaler
2920,1969-04-22,"United States Naval Academy, University of Pittsburgh",47th overall,2nd round,Boston Celtics,1992,Darren Morningstar
2921,1966-01-20,Auburn University,4th overall,1st round,New Jersey Nets,1988,Chris Morris
2922,1991-01-03,University of Michigan,41st overall,2nd round,Los Angeles Lakers,2011,Darius Morris
2923,1969-04-02,University of Arkansas,37th overall,2nd round,Miami Heat,1992,Isaiah Morris
2924,1995-09-19,Molloy,,,,,Jaylen Morris
2925,1989-09-02,University of Kansas,14th overall,1st round,Houston Rockets,2011,Marcus Morris
2926,1989-09-02,University of Kansas,13th overall,1st round,Phoenix Suns,2011,Markieff Morris
2927,1925-03-14,Northwestern University,,,,,Max Morris
2928,1995-06-27,Iowa State University,51st overall,2nd round,Denver Nuggets,2017,Monte Morris
2929,1986-01-02,University of Kentucky,,,,,Randolph Morris
2930,1979-01-11,University of Maryland,34th overall,2nd round,Atlanta Hawks,2001,Terence Morris
2931,1984-07-19,Gonzaga University,3rd overall,1st round,Charlotte Bobcats,2006,Adam Morrison
2932,1945-05-02,Canisius College,61st overall,6th round,St. Louis Hawks,1967,John Morrison
2933,1967-08-16,Loyola College in Maryland,51st overall,2nd round,Phoenix Suns,1989,Mike Morrison
2934,1932-04-26,University of Idaho,14th overall,2nd round,Boston Celtics,1954,Red Morrison
2935,1985-09-27,Georgia Institute of Technology,,,,,Anthony Morrow
2936,1971-08-08,University of Louisville,45th overall,2nd round,Golden State Warriors,1994,Dwayne Morton
2937,1967-05-18,Seton Hall University,25th overall,1st round,Cleveland Cavaliers,1989,John Morton
2938,1966-02-02,"California State University, Fullerton",,,,,Richard Morton
2939,1955-12-26,Seton Hall University,20th overall,1st round,Philadelphia 76ers,1977,Glenn Mosley
2940,1958-11-11,Northeastern University,69th overall,3rd round,Boston Celtics,1982,Perry Moss
2941,1972-03-25,Syracuse University,36th overall,2nd round,Vancouver Grizzlies,1995,Lawrence Moten
2942,1990-09-20,,20th overall,1st round,Minnesota Timberwolves,2011,Donatas Motiejunas
2943,1995-05-04,Baylor University,,,,,Johnathan Motley
2944,1976-09-09,University of Utah,40th overall,2nd round,Atlanta Hawks,2000,Hanno Mottola
2945,1990-11-18,"University of Texas at El Paso, Mississippi State University",27th overall,1st round,Miami Heat,2012,Arnett Moultrie
2946,1947-01-05,Purdue University,132nd overall,8th round,Los Angeles Lakers,1970,Rick Mount
2947,1970-02-08,Georgetown University,2nd overall,1st round,Charlotte Hornets,1992,Alonzo Mourning
2948,1986-07-16,,,,,,Timofey Mozgov
2949,1924-02-26,Eastern Kentucky University,1950 NBA Draft,3rd roun,Indianapolis Olympians,,Chuck Mrazovich
2950,1996-03-05,,7th overall,1st round,Denver Nuggets,2015,Emmanuel Mudiay
2951,1944-03-12,University of San Francisco,20th overall,2nd round,Chicago Bulls,1966,Erwin Mueller
2952,1992-11-13,"University of California, Los Angeles",14th overall,1st round,Utah Jazz,2013,Shabazz Muhammad
